"","bullshit1","bullshit2","bullshit3","bullshit4","bullshit5","bullshit6","bullshit7","bullshit8","bullshit9","bullshit10","mundane1","mundane2","mundane3","mundane4","mundane5","mundane6","mundane7","mundane8","mundane9","mundane10","FavorablenessTrump","FavorablenessCruz","FavorablenessRubio","FavorablenessClinton","FavorablenessSanders","FavorablenessOMalley","Conservatism","age","sex","country","who_first_presented","MeanBullshit","MeanMundane"
"133",3,2,1,5,5,1,2,5,4,5,5,4,3,5,4,1,5,5,5,5,1,2,5,4,4,3,4,27,2,1,"Dem first",3.3,4.2
"134",1,2,1,3,1,1,1,1,1,2,4,3,2,2,1,1,4,5,5,2,2,1,2,1,5,3,3,33,1,1,"Rep first",1.4,2.9
"135",3,3,3,4,4,3,3,4,4,4,4,4,5,3,4,3,3,3,3,4,3,3,NA,4,NA,NA,3,33,1,1,"Dem first",3.5,3.6
"136",3,2,4,2,2,2,2,4,2,NA,4,5,5,3,3,4,3,3,3,2,2,2,1,1,1,3,1,34,2,1,"Dem first",2.55555555555556,3.5
"137",4,4,4,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,1,3,3,3,3,3,4,49,2,1,"Dem first",3.7,4.9
"138",3,3,3,4,2,1,2,1,1,3,3,4,4,3,4,4,4,4,5,4,2,4,4,2,1,NA,6,43,2,1,"Dem first",2.3,3.9
"139",2,4,4,1,3,3,2,2,1,3,4,3,4,4,3,3,2,4,3,3,1,2,3,3,5,2,1,29,1,1,"Rep first",2.5,3.3
"140",3,1,2,1,3,5,5,5,5,5,5,5,5,5,5,4,3,5,4,5,1,1,1,5,5,3,2,43,1,1,"Rep first",3.5,4.6
"141",3,2,2,1,1,1,3,4,1,3,3,3,2,3,2,4,4,3,4,4,1,1,1,1,5,3,1,25,2,1,"Rep first",2.1,3.2
"142",5,4,4,2,4,4,NA,4,4,4,3,4,5,4,3,3,4,4,5,4,2,2,4,5,2,3,7,45,2,1,"Rep first",3.88888888888889,3.9
"143",4,2,3,2,2,1,2,2,1,2,4,5,4,2,2,2,3,3,4,3,1,1,1,4,5,2,1,26,1,1,"Rep first",2.1,3.2
"144",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,5,3,3,3,26,1,1,"Rep first",3,3
"145",1,1,1,1,1,1,1,3,1,1,2,NA,4,1,2,1,3,4,4,4,3,5,5,1,1,2,7,37,2,1,"Rep first",1.2,2.77777777777778
"146",3,4,3,2,2,4,3,2,2,4,4,3,3,3,4,3,2,3,3,4,1,2,2,2,3,3,4,21,1,1,"Dem first",2.9,3.2
"147",2,3,3,2,2,2,3,2,2,1,4,2,4,1,1,2,1,2,2,3,2,1,2,1,1,1,4,30,2,1,"Dem first",2.2,2.2
"148",3,3,4,4,4,5,3,4,3,3,5,4,4,5,5,5,5,4,5,3,1,3,2,4,2,3,3,34,1,1,"Dem first",3.6,4.5
"149",3,3,3,2,3,3,3,3,3,2,3,3,4,3,3,3,4,4,4,4,2,3,3,3,3,3,4,23,1,1,"Dem first",2.8,3.5
"150",1,1,1,1,2,1,5,1,5,1,4,5,5,1,5,1,1,1,3,4,1,1,NA,1,1,1,6,36,2,1,"Rep first",1.9,3
"151",3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,4,29,2,1,"Dem first",2.7,2.6
"152",4,2,2,3,3,4,2,3,3,4,4,4,4,3,2,3,2,3,4,2,4,1,1,2,4,3,4,41,2,1,"Rep first",3,3.1
